# {"t_start": 1600396399.741331, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-47.0,50,2816.739725
-50.0,50,2824.685538
-21.0,50,2832.463475
-50.0,50,2840.180306
-50.0,50,2843.359636
-50.0,50,2846.567166
-50.0,50,2846.709668
-50.0,50,2846.854231
-10.0,50,2846.997741
-15.0,50,2847.133686
-50.0,50,2847.26445
-50.0,50,2847.413839
-50.0,50,2847.547904
-50.0,50,2847.704497
-47.0,50,2847.840352
-6.0,50,2847.994827
-32.0,50,2855.721365
-49.0,50,2863.617519
-19.0,50,2871.611817
-50.0,50,2879.519706
-50.0,50,2882.806246
-48.0,50,2890.842848
-37.0,50,2898.70567
-50.0,50,2906.337953
-49.0,50,2909.561125
-42.0,50,2917.386019
-46.0,50,2925.317777
-11.0,50,2933.076759
-50.0,50,2940.949632
-50.0,50,2948.565939
-50.0,50,2951.695641
-10.0,50,2959.793436
-4.0,50,2967.576616
-10.0,50,2975.134361
-30.0,50,2982.886318
-48.0,50,2990.609706
-50.0,50,2999.23175
-50.0,50,3006.826337
-50.0,50,3014.436595
-50.0,50,3017.625828
-50.0,50,3020.810457
-50.0,50,3028.419295
0.0,50,3031.723933
-50.0,50,3034.903365
-50.0,50,3042.70233
-10.0,50,3050.531212
-50.0,50,3053.769057
-50.0,50,3061.560056
-50.0,50,3069.335588
-21.0,50,3072.53682
-31.0,50,3080.655829
-50.0,50,3088.4067
-50.0,50,3096.264073
-50.0,50,3103.922773
-50.0,50,3107.167953
0.0,50,3110.324887
-50.0,50,3113.558806
-50.0,50,3116.77518
-10.0,50,3120.033109
-50.0,50,3123.228949
-50.0,50,3126.47233
-23.0,50,3134.18652
-50.0,50,3141.940711
-32.0,50,3149.69508
-50.0,50,3157.466595
-16.0,50,3160.710581
-50.0,50,3168.408743
-34.0,50,3175.954753
-50.0,50,3183.707531
-9.0,50,3186.968664
-50.0,50,3195.560441
-50.0,50,3198.757874
-50.0,50,3206.43946
-50.0,50,3214.29764
-50.0,50,3217.548577
-50.0,50,3225.558526
-50.0,50,3233.326059
-46.0,50,3236.70502
-50.0,50,3244.503772
-21.0,50,3247.759606
-50.0,50,3255.32585
-50.0,50,3258.588609
-21.0,50,3266.327909
-50.0,50,3274.226974
-50.0,50,3281.880791
-50.0,50,3285.091012
-50.0,50,3288.328796
-50.0,50,3291.602205
-37.0,50,3299.63014
-50.0,50,3307.332452
-50.0,50,3310.547188
-50.0,50,3313.717095
-48.0,50,3316.957042
-50.0,50,3324.805861
-10.0,50,3327.969708
-47.0,50,3336.219264
-50.0,50,3344.176087
-50.0,50,3347.512729
-46.0,50,3355.545691
-50.0,50,3363.448927
-47.0,50,3366.745545
-50.0,50,3374.583781
-50.0,50,3382.28051
-28.0,50,3385.590677
-50.0,50,3393.524299
-50.0,50,3396.766033
-50.0,50,3404.580025
-9.0,50,3407.815088
-49.0,50,3415.759169
-50.0,50,3423.621607
-50.0,50,3426.955316
-24.0,50,3434.851256
-25.0,50,3442.600475
-31.0,50,3450.247169
-47.0,50,3457.900392
-12.0,50,3466.08573
-9.0,50,3466.234823
-11.0,50,3466.353247
-50.0,50,3466.492984
-7.0,50,3466.667084
-10.0,50,3466.813767
-50.0,50,3466.977029
-8.0,50,3467.119001
-10.0,50,3467.264502
-15.0,50,3467.40913
-50.0,50,3467.546699
-50.0,50,3470.777391
