epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
97,0.82144576,0.19490035,0.19969414,0.25678107,980.0,-2.0110388,0.9,9800.0,0.39
98,0.82128376,0.19546358,0.19964609,0.25676733,990.0,-1.0554717,1.0,9900.0,0.44
99,0.8210941,0.19587487,0.1995948,0.25676203,1000.0,-1.7584057,1.0,10000.0,0.47
100,0.820918,0.19598873,0.19953926,0.25677684,1010.0,-1.9747385,1.0,10100.0,0.52
101,0.82083297,0.19590472,0.19954686,0.25660586,1020.0,-1.1108744,1.0,10200.0,0.43
102,0.82086223,0.19570468,0.19957712,0.2563157,1030.0,-0.6657275,0.9,10300.0,0.35
103,0.82089084,0.19523887,0.19961128,0.25598136,1040.0,-1.1430311,1.0,10400.0,0.39
104,0.82081157,0.19508271,0.19962734,0.2557471,1050.0,-1.2995608,0.9,10500.0,0.37
105,0.82093006,0.19431154,0.19968402,0.25539267,1060.0,-1.1919862,0.9,10600.0,0.49
106,0.82089216,0.19399041,0.19968691,0.2551697,1070.0,-1.55368,1.0,10700.0,0.51
107,0.8209006,0.19369072,0.19967283,0.25500956,1080.0,-2.0998883,0.8,10800.0,0.46
108,0.8209891,0.19309455,0.19971253,0.25459245,1090.0,-2.3286579,0.8,10900.0,0.44
109,0.8210185,0.19258523,0.19973168,0.25437135,1100.0,-2.1288297,0.9,11000.0,0.39
110,0.8210125,0.19239198,0.19976586,0.25407803,1110.0,-0.6923361,1.0,11100.0,0.36
111,0.8210335,0.19198078,0.19976562,0.25381956,1120.0,-1.5917923,1.0,11200.0,0.41
112,0.82099366,0.19194634,0.19976178,0.25369337,1130.0,-0.9255072,1.0,11300.0,0.43
113,0.8208909,0.1918366,0.19977188,0.2536517,1140.0,-0.89266795,1.0,11400.0,0.39
114,0.8207621,0.19192035,0.19975737,0.25355616,1150.0,-0.89609593,1.0,11500.0,0.36
115,0.8207739,0.1915608,0.19977058,0.2533539,1160.0,-1.1063434,1.0,11600.0,0.48
116,0.8207137,0.191413,0.19976461,0.25328892,1170.0,-1.1698842,1.0,11700.0,0.36
117,0.8206832,0.19106807,0.19977699,0.2530542,1180.0,-1.1955876,1.0,11800.0,0.4
118,0.8206236,0.19101875,0.19978355,0.25298467,1190.0,-1.0631647,1.0,11900.0,0.36
119,0.82053035,0.1911384,0.19977228,0.2528982,1200.0,-1.1483079,1.0,12000.0,0.42
120,0.8204872,0.19093435,0.1997645,0.2526682,1210.0,-0.65455806,1.0,12100.0,0.37
121,0.82043153,0.19081382,0.1997561,0.2526062,1220.0,-1.200781,1.0,12200.0,0.34
122,0.8204182,0.19054317,0.19977804,0.25232562,1230.0,-1.0652068,1.0,12300.0,0.54
123,0.8203392,0.19042778,0.19977884,0.25226238,1240.0,-1.1097164,0.9,12400.0,0.41
124,0.8203761,0.19036669,0.19979839,0.25211507,1250.0,-1.091598,1.0,12500.0,0.47
125,0.82035655,0.19028763,0.1998007,0.2519805,1260.0,-1.2546213,1.0,12600.0,0.38
126,0.8203254,0.19020712,0.19979694,0.25185806,1270.0,-0.79975396,1.0,12700.0,0.44
127,0.820359,0.18994685,0.19981757,0.25158197,1280.0,-0.73721707,1.0,12800.0,0.5
128,0.82032996,0.18980165,0.19982149,0.25134042,1290.0,-1.0263708,1.0,12900.0,0.45
129,0.82032937,0.18940765,0.19983803,0.25113624,1300.0,-1.1971552,1.0,13000.0,0.44
130,0.8203357,0.18921892,0.1998454,0.2508855,1310.0,-1.0306275,1.0,13100.0,0.54
131,0.82034725,0.18892626,0.19985662,0.25070176,1320.0,-0.8501586,0.9,13200.0,0.47
132,0.82030505,0.18878138,0.19984427,0.25057393,1330.0,-1.1891775,0.9,13300.0,0.44
133,0.8202583,0.18872361,0.19984396,0.2504021,1340.0,-2.756233,1.0,13400.0,0.41
134,0.82022405,0.18877412,0.1998147,0.2503466,1350.0,-1.5199388,0.9,13500.0,0.31
135,0.82018876,0.18864703,0.19981676,0.25022063,1360.0,-1.2246987,1.0,13600.0,0.47
136,0.8201246,0.18870972,0.19982848,0.2501472,1370.0,-1.3147589,0.9,13700.0,0.43
137,0.8200872,0.18871208,0.19981828,0.2500623,1380.0,-0.7617525,1.0,13800.0,0.4
138,0.8199871,0.18873942,0.19983244,0.24985757,1390.0,-1.3679729,0.9,13900.0,0.46
139,0.8199696,0.18858664,0.19985701,0.24959607,1400.0,-1.065065,1.0,14000.0,0.39
140,0.8199584,0.18827361,0.19987762,0.2493351,1410.0,-1.0477414,1.0,14100.0,0.44
141,0.81987214,0.1883139,0.19989032,0.24906582,1420.0,-1.1107684,1.0,14200.0,0.41
142,0.81984425,0.1881634,0.19989195,0.24879648,1430.0,-1.3277563,1.0,14300.0,0.46
143,0.81976753,0.18821351,0.19990438,0.24851722,1440.0,-1.6172884,0.7,14400.0,0.47
144,0.819799,0.1879121,0.19991364,0.2482865,1450.0,-1.3586696,0.8,14500.0,0.4
145,0.81975937,0.18824194,0.19991845,0.24823374,1460.0,-1.3479055,0.8,14600.0,0.49
146,0.8196927,0.18889518,0.19992077,0.24844114,1470.0,-1.2288358,1.0,14700.0,0.5
147,0.8196888,0.18941718,0.19992079,0.248663,1480.0,-1.1203258,1.0,14800.0,0.3
148,0.81972575,0.18955202,0.19994883,0.24868624,1490.0,-1.3736374,1.0,14900.0,0.39
149,0.8196996,0.18993258,0.19996084,0.24876425,1500.0,-0.83215874,0.8,15000.0,0.32
150,0.8198712,0.18974058,0.19998924,0.24879129,1510.0,-1.3139558,0.8,15100.0,0.4
151,0.81999636,0.18978028,0.19999886,0.24892107,1520.0,-1.405164,1.0,15200.0,0.4
152,0.82014495,0.18957663,0.20002533,0.24899036,1530.0,-1.0679328,0.9,15300.0,0.34
